"Gene"	"Correlation"	"P-Value"	"FDR"
"ENSG00000181800"	"0.609311740890688"	"5.5019083876058e-05"	"0.257049159868943"
"ENSG00000181908"	"-0.0230769230769231"	"0.889042995306848"	"1"
"ENSG00000182057"	"0.0115384615384615"	"0.94463523242652"	"1"
"ENSG00000182165"	"-0.25587044534413"	"0.115831128186472"	"1"
"ENSG00000182257"	"0.081578947368421"	"0.620375186572986"	"1"
"ENSG00000182352"	"0.0787449392712551"	"0.632614765002712"	"1"
"ENSG00000182366"	"0.0939271255060729"	"0.568260000420339"	"1"
"ENSG00000182376"	"0.00384615384615385"	"0.9818590965049"	"1"
"ENSG00000182586"	"-0.188663967611336"	"0.249077488586841"	"1"
"ENSG00000182648"	"-0.0168016194331984"	"0.919228889735002"	"1"
"ENSG00000182776"	"0.237246963562753"	"0.145563619170621"	"1"
"ENSG00000182824"	"-0.265721553048751"	"0.102052431722064"	"1"
"ENSG00000182873"	"0.0143724696356275"	"0.930946494937686"	"1"
"ENSG00000182912"	"-0.102429149797571"	"0.533602469588171"	"1"
"ENSG00000183146"	"0.0419065427791383"	"0.800034283178887"	"1"
"ENSG00000183154"	"0.206477732793522"	"0.20652099453355"	"1"
"ENSG00000183242"	"-0.0797570850202429"	"0.628232050631467"	"1"
"ENSG00000183250"	"-0.126518218623482"	"0.441383952681711"	"1"
"ENSG00000183308"	"0.199595141700405"	"0.222311450424777"	"1"
"ENSG00000183385"	"-0.14251012145749"	"0.385422088116876"	"1"
"ENSG00000183470"	"-0.0818758544711238"	"0.62023874246671"	"1"
"ENSG00000183535"	"-0.00384615384615385"	"0.981859096504902"	"1"
"ENSG00000183562"	"0.329757085020243"	"0.0408931470341961"	"1"
"ENSG00000183643"	"-0.230620024212702"	"0.157806948271666"	"1"
"ENSG00000183674"	"-0.00522129969741957"	"0.974833870964561"	"1"
"ENSG00000183784"	"-0.000809716599190283"	"0.996567660606806"	"1"
"ENSG00000183822"	"0.197924480725377"	"0.227118249816963"	"1"
"ENSG00000184029"			
"ENSG00000184068"	"0.0963562753036437"	"0.558252122399365"	"1"
"ENSG00000184224"	"0.0629554655870445"	"0.702526696826276"	"1"
"ENSG00000184274"	"-0.0510121457489879"	"0.757120358140672"	"1"
"ENSG00000184385"	"-0.13695025069414"	"0.405772853148708"	"1"
"ENSG00000184441"	"-0.0848178137651822"	"0.606511068679117"	"1"
"ENSG00000184566"	"-0.0923576793388268"	"0.576021539568874"	"1"
"ENSG00000184608"	"-0.0233924080618375"	"0.887592043774906"	"1"
"ENSG00000184809"	"-0.0186234817813765"	"0.910451699974613"	"1"
"ENSG00000184856"	"0.00445344129554656"	"0.9789179461042"	"1"
"ENSG00000184991"	"0.163356990562754"	"0.32038452512792"	"1"
"ENSG00000185065"	"-0.00607287449392713"	"0.971076342412014"	"1"
"ENSG00000185168"	"0.0334008097165992"	"0.839739497465272"	"1"
"ENSG00000185186"	"0.211336032388664"	"0.195861021988473"	"1"
"ENSG00000185203"	"0.0998982504075912"	"0.545123596304986"	"1"
"ENSG00000185332"	"0.103846153846154"	"0.527928644967538"	"1"
"ENSG00000185433"	"-0.159546470166369"	"0.331955011467222"	"1"
"ENSG00000185594"	"0.108159027481127"	"0.512207901906462"	"1"
"ENSG00000185700"	"-0.14251012145749"	"0.385422088116876"	"1"
"ENSG00000185837"	"0.0838056680161943"	"0.61082917542938"	"1"
"ENSG00000185847"	"0.0248987854251012"	"0.880306585508898"	"1"
"ENSG00000185904"	"-0.0236842105263158"	"0.886129353947914"	"1"
"ENSG00000186019"	"-0.0342105263157895"	"0.835895708710659"	"1"
"ENSG00000186056"	"0.134412955465587"	"0.413212763875254"	"1"
"ENSG00000186235"	"-0.151012145748988"	"0.357467691132713"	"1"
"ENSG00000186493"	"-0.0368421052631579"	"0.823430066067781"	"1"
"ENSG00000186594"	"-0.0617408906882591"	"0.708016394242249"	"1"
"ENSG00000186615"	"0.03582995951417"	"0.828219608881873"	"1"
"ENSG00000186960"	"-0.0467611336032389"	"0.776855373642542"	"1"
"ENSG00000187012"			
"ENSG00000187013"	"-0.22165991902834"	"0.174518874169154"	"1"
"ENSG00000187185"	"-0.0728744939271255"	"0.658277874447156"	"1"
"ENSG00000187229"	"0.0397890360499587"	"0.809948015855121"	"1"
"ENSG00000187600"	"-0.0278311909847654"	"0.866439067439055"	"1"
"ENSG00000187621"	"-0.00202429149797571"	"0.990683827663591"	"1"
"ENSG00000187904"	"-0.0082995951417004"	"0.960298713741708"	"1"
"ENSG00000187951"	"0.0487854251012146"	"0.767439476971931"	"1"
"ENSG00000187979"	"-0.237939689754111"	"0.144666929748891"	"1"
"ENSG00000188004"	"0.286437246963563"	"0.0773494068629921"	"1"
"ENSG00000188185"	"-0.098582995951417"	"0.549151881943994"	"1"
"ENSG00000188242"	"-0.160526315789474"	"0.327696218618135"	"1"
"ENSG00000188280"	"0.200607287449393"	"0.219938251468085"	"1"
"ENSG00000188365"	"-0.145141700404858"	"0.376634390265256"	"1"
"ENSG00000188511"	"0.0097165991902834"	"0.953443764233035"	"1"
"ENSG00000188525"	"-0.154048582995951"	"0.347791931805632"	"1"
"ENSG00000188660"	"0.136437246963563"	"0.406159448074184"	"1"
"ENSG00000188693"	"-0.0520242914979757"	"0.752443574260245"	"1"
"ENSG00000188825"	"0.00222672064777328"	"0.98970322823102"	"1"
"ENSG00000189196"	"-0.0674225565550774"	"0.683406440668631"	"1"
"ENSG00000189223"	"-0.042914979757085"	"0.794832405720187"	"1"
"ENSG00000189229"	"0.0157894736842105"	"0.924109301320783"	"1"
"ENSG00000189238"	"-0.0329959514170041"	"0.841662788679109"	"1"
"ENSG00000189275"	"0.181770100192452"	"0.268087141905233"	"1"
"ENSG00000189295"	"-0.0352226720647773"	"0.831096322557424"	"1"
"ENSG00000189316"	"-0.182388663967611"	"0.265391460182822"	"1"
"ENSG00000189419"	"0.109919028340081"	"0.503954903431117"	"1"
"ENSG00000194297"	"0.0493211824555622"	"0.765572727385584"	"1"
"ENSG00000194717"	"0.144137515132938"	"0.381336625351041"	"1"
"ENSG00000195024"			
"ENSG00000195401"	"-0.0670991906817992"	"0.684846365065852"	"1"
"ENSG00000196096"	"0.195748987854251"	"0.231491428702438"	"1"
"ENSG00000196166"	"-0.0283400809716599"	"0.863843785668432"	"1"
"ENSG00000196167"	"-0.0848178137651822"	"0.606511068679117"	"1"
"ENSG00000196204"	"0.203441295546559"	"0.213387196758129"	"1"
"ENSG00000196243"	"0.0190283400809717"	"0.908502614781798"	"1"
"ENSG00000196273"	"0.0724950400018843"	"0.66096630232129"	"1"
"ENSG00000196274"	"-0.0338056680161943"	"0.837817133862221"	"1"
"ENSG00000196295"	"0.0370445344129555"	"0.822472916579516"	"1"
"ENSG00000196299"	"0.210728744939271"	"0.197171714992071"	"1"
"ENSG00000196366"	"0.0103238866396761"	"0.950506922237496"	"1"
"ENSG00000196566"	"0.200404858299595"	"0.220411476164689"	"1"
"ENSG00000196634"	"0.0271255060728745"	"0.86964801076591"	"1"
"ENSG00000196668"	"-0.0740890688259109"	"0.652934873643297"	"1"
"ENSG00000196696"	"0.255668016194332"	"0.116127282357768"	"1"
"ENSG00000196741"	"-0.0651821862348178"	"0.692501407424442"	"1"
"ENSG00000196756"	"0.00688259109311741"	"0.967156511311197"	"1"
"ENSG00000196758"	"0.0762483445186295"	"0.644546834833073"	"1"
"ENSG00000196810"	"0.158097165991903"	"0.335144796787459"	"1"
"ENSG00000196893"	"-0.00845666102518649"	"0.959250279703136"	"1"
"ENSG00000196951"	"-0.213765182186235"	"0.190680137884153"	"1"
"ENSG00000196979"	"-0.128947368421053"	"0.432604293956359"	"1"
"ENSG00000197085"	"-0.188056680161943"	"0.250625867542102"	"1"
"ENSG00000197099"	"0.116396761133603"	"0.479011339750545"	"1"
"ENSG00000197176"	"0.114193158850041"	"0.488809634489712"	"1"
"ENSG00000197180"	"-0.120242914979757"	"0.464516516529848"	"1"
"ENSG00000197182"	"0.0746963562753036"	"0.650269811807309"	"1"
"ENSG00000197210"	"-0.0690283400809717"	"0.675308266561809"	"1"
"ENSG00000197251"	"-0.00910931174089069"	"0.956381219499356"	"1"
"ENSG00000197291"	"-0.0955465587044534"	"0.561578833473418"	"1"
"ENSG00000197301"	"0.0125506072874494"	"0.939744371952524"	"1"
"ENSG00000197308"	"0.147720440560354"	"0.369485848017059"	"1"
"ENSG00000197322"	"0.392914979757085"	"0.013889648266902"	"1"
"ENSG00000197332"	"0.0129554655870445"	"0.937788634695181"	"1"
"ENSG00000197334"	"-0.0526534580736662"	"0.750224528045879"	"1"
"ENSG00000197462"	"-0.106882591093117"	"0.51587171788283"	"1"
"ENSG00000197503"	"0.18502024291498"	"0.258465352979944"	"1"
"ENSG00000197536"	"-0.0718623481781377"	"0.662743353679661"	"1"
"ENSG00000197568"	"-0.092914979757085"	"0.572454358532259"	"1"
"ENSG00000197585"	"0.0105132586686228"	"0.949351771517813"	"1"
"ENSG00000197595"	"-0.424555621976187"	"0.0070632985175254"	"1"
"ENSG00000197644"	"-0.169243258093927"	"0.303014658038316"	"1"
"ENSG00000197665"	"-0.326113360323887"	"0.0432784451615003"	"1"
"ENSG00000197670"	"0.10748987854251"	"0.51347706895565"	"1"
"ENSG00000197734"	"-0.038663967611336"	"0.814825054265394"	"1"
"ENSG00000197813"	"0.0550607287449393"	"0.738466622658307"	"1"
"ENSG00000197815"	"0.0145748987854251"	"0.929969438793949"	"1"
"ENSG00000197880"	"-0.3082995951417"	"0.0566304339181513"	"1"
"ENSG00000197934"	"-0.0145748987854251"	"0.929969438793949"	"1"
"ENSG00000197989"	"-0.0356275303643725"	"0.829178267129058"	"1"
"ENSG00000198054"	"-0.0227744319336153"	"0.890543440166793"	"1"
"ENSG00000198106"	"0.0902834008097166"	"0.583425873366407"	"1"
"ENSG00000198221"	"-0.130161943319838"	"0.428251496779273"	"1"
"ENSG00000198358"	"-0.0661943319838057"	"0.6879615465185"	"1"
"ENSG00000198454"	"0.0935986232924963"	"0.570882643502038"	"1"
"ENSG00000198468"	"-0.0979757085020243"	"0.551626713030004"	"1"
"ENSG00000198491"	"-0.061916612220599"	"0.708070831554682"	"1"
"ENSG00000198496"	"0.0797570850202429"	"0.628232050631467"	"1"
"ENSG00000198590"	"-0.0291497975708502"	"0.859978238126927"	"1"
"ENSG00000198671"	"-0.0479757085020243"	"0.771201925493795"	"1"
"ENSG00000198685"	"-0.0366582325471219"	"0.824659092468804"	"1"
"ENSG00000198711"	"-0.082995951417004"	"0.61429314676657"	"1"
"ENSG00000198972"			
"ENSG00000198973"			
"ENSG00000198974"	"-0.185679745715058"	"0.257753009631268"	"1"
"ENSG00000198975"	"-0.00318754979708879"	"0.984634804279658"	"1"
"ENSG00000198976"	"-0.116704873202455"	"0.47923559382556"	"1"
"ENSG00000198982"	"-0.124433062235263"	"0.450403810582972"	"1"
"ENSG00000198983"	"-0.193268373259026"	"0.238459470704916"	"1"
"ENSG00000198984"	"0.154253859021258"	"0.348449328376889"	"1"
"ENSG00000198987"			
"ENSG00000198995"	"-0.166596793832004"	"0.310748419291402"	"1"
"ENSG00000198997"	"-0.0144137515132938"	"0.930600269345553"	"1"
"ENSG00000199001"			
"ENSG00000199005"	"0.361988033119009"	"0.0235451465255118"	"1"
"ENSG00000199012"	"0.265231641244485"	"0.102709742464165"	"1"
"ENSG00000199015"	"-0.0265231641244485"	"0.872663602578102"	"1"
"ENSG00000199017"	"0.273861278752583"	"0.0915949596780689"	"1"
"ENSG00000199020"	"-0.0584278398103794"	"0.723854389170204"	"1"
"ENSG00000199023"	"-0.222386278178003"	"0.173600002509788"	"1"
"ENSG00000199024"	"0.0105268485382044"	"0.949286386088447"	"1"
"ENSG00000199025"	"0.0768787365926045"	"0.641805043560564"	"1"
"ENSG00000199030"	"0.0452946550495678"	"0.784236502146083"	"1"
"ENSG00000199031"			
"ENSG00000199032"	"0.184096466847774"	"0.261905604185326"	"1"
"ENSG00000199035"			
"ENSG00000199036"			
"ENSG00000199038"	"-0.0974800507580036"	"0.554945860128389"	"1"
"ENSG00000199043"			
"ENSG00000199047"	"-0.0693319099263769"	"0.674926871745095"	"1"
"ENSG00000199051"			
"ENSG00000199053"	"0.0694331983805668"	"0.673507797953641"	"1"
"ENSG00000199059"	"0.0887919398515856"	"0.590902922602495"	"1"
"ENSG00000199065"	"0.191150363689064"	"0.243743120823131"	"1"
"ENSG00000199069"			
"ENSG00000199072"			
"ENSG00000199075"	"-0.0628221921505622"	"0.703993168058343"	"1"
"ENSG00000199077"			
"ENSG00000199080"			
"ENSG00000199082"	"-0.0790914361250146"	"0.632218456199452"	"1"
"ENSG00000199085"			
"ENSG00000199088"	"-0.14258087927863"	"0.386554200493314"	"1"
"ENSG00000199090"	"0.0248477143190796"	"0.88064760657694"	"1"
"ENSG00000199092"	"0.100896260593057"	"0.541094142899359"	"1"
"ENSG00000199094"			
"ENSG00000199095"			
"ENSG00000199102"			
"ENSG00000199104"	"0.129723763619645"	"0.431222611939288"	"1"
"ENSG00000199107"	"0.0370651674743338"	"0.8227435237847"	"1"
"ENSG00000199109"			
"ENSG00000199121"	"0.295724919836376"	"0.0675737845080603"	"1"
"ENSG00000199122"	"-0.141812363469915"	"0.389145457299588"	"1"
"ENSG00000199127"			
"ENSG00000199130"	"-0.128139578982697"	"0.43691782333397"	"1"
"ENSG00000199132"	"-0.129540671158539"	"0.431878719674502"	"1"
"ENSG00000199133"			
"ENSG00000199135"	"-0.174410469532154"	"0.288271400065741"	"1"
"ENSG00000199143"	"-0.0101341836738005"	"0.95117575895891"	"1"
"ENSG00000199145"			
"ENSG00000199150"	"0.213947223993401"	"0.190929929141781"	"1"
"ENSG00000199151"	"0.0999423575703858"	"0.544945213002578"	"1"
"ENSG00000199153"	"0.180560315839255"	"0.271339409498806"	"1"
"ENSG00000199156"	"-0.115310012106351"	"0.484540306598863"	"1"
"ENSG00000199157"			
"ENSG00000199158"			
"ENSG00000199161"	"0.0779391670617058"	"0.637203428751582"	"1"
"ENSG00000199165"			
"ENSG00000199168"	"-0.272239681940611"	"0.0936094983453783"	"1"
"ENSG00000199169"			
"ENSG00000199172"	"-0.105669955985237"	"0.522020099778712"	"1"
"ENSG00000199177"			
"ENSG00000199179"	"0.250523248706616"	"0.123984495974074"	"1"
"ENSG00000199196"			
"ENSG00000199197"			
"ENSG00000199200"	"-0.313267166059127"	"0.0521499382948315"	"1"
"ENSG00000199201"	"-0.10391319677464"	"0.529000765578269"	"1"
"ENSG00000199203"	"0.287499637150687"	"0.0759473476079099"	"1"
"ENSG00000199204"			
"ENSG00000199212"	"0.18737876967282"	"0.253345801814024"	"1"
"ENSG00000199217"	"0.0625163359837909"	"0.705369477716271"	"1"
"ENSG00000199218"	"-0.0606038058931091"	"0.713996412714184"	"1"
"ENSG00000199219"			
"ENSG00000199220"			
"ENSG00000199222"	"0.183568969808096"	"0.263298900554577"	"1"
"ENSG00000199223"			
"ENSG00000199224"			
"ENSG00000199226"	"-0.0645607614921546"	"0.696187614769123"	"1"
"ENSG00000199231"			
"ENSG00000199237"	"0.153616061128906"	"0.350470153839806"	"1"
"ENSG00000199241"			
"ENSG00000199245"	"0.0419068870537456"	"0.800032673819884"	"1"
"ENSG00000199246"	"-0.129723763619645"	"0.431222611939288"	"1"
"ENSG00000199248"	"0.111875136706481"	"0.497732241503506"	"1"
"ENSG00000199251"	"-0.104874547460922"	"0.525175103518786"	"1"
"ENSG00000199260"	"0.0290412427667117"	"0.860687823345078"	"1"
"ENSG00000199263"	"0.0864825090797631"	"0.600630677808906"	"1"
