"Gene"	"Correlation"	"P-Value"	"FDR"
"ENSG00000177410"	"0.563562753036437"	"0.000239651812863873"	"0.00119697805184949"
"ENSG00000177553"	"0.667813765182186"	"6.21218833859568e-06"	"0.00010358081341156"
"ENSG00000177596"	"0.381174089068826"	"0.0172252238194043"	"0.0402461720765438"
"ENSG00000177640"	"0.422874493927126"	"0.00776470031587989"	"0.0204652374341593"
"ENSG00000177699"	"0.117206477732794"	"0.475940047867862"	"0.595043167539989"
"ENSG00000177725"	"0.646356275303644"	"1.43377486328246e-05"	"0.000165397436080386"
"ENSG00000177738"	"0.522064777327935"	"0.000774453998409116"	"0.00301721904650383"
"ENSG00000177757"	"0.341497975708502"	"0.0339295589077858"	"0.0718761713227754"
"ENSG00000177788"	"0.65668016194332"	"9.62866311839928e-06"	"0.000130694695203839"
"ENSG00000177800"	"0.594736842105263"	"8.98870629085156e-05"	"0.000572142176987173"
"ENSG00000177822"	"-0.0360323886639676"	"0.827261198739129"	"0.882936062619183"
"ENSG00000177993"	"0.725708502024291"	"6.68709327184863e-07"	"4.36342175503866e-05"
"ENSG00000178107"	"-0.0958399330407774"	"0.561654546401544"	"0.671799805629292"
"ENSG00000178130"			
"ENSG00000178243"	"0.481195028873109"	"0.00192775345703108"	"0.00632831938676869"
"ENSG00000178248"	"-0.00495227928045549"	"0.976130140737934"	"0.984219617042392"
"ENSG00000178412"	"0.236340575820582"	"0.147466568764945"	"0.24186049612786"
"ENSG00000178457"	"0.544258313364665"	"0.000341424876424749"	"0.00158028236839353"
"ENSG00000178722"	"0.615587044534413"	"4.42424691961377e-05"	"0.000348567986651527"
"ENSG00000178734"	"0.556477732793522"	"0.000295788102437641"	"0.00141156487700578"
"ENSG00000178803"	"0.432793522267206"	"0.00633653875361651"	"0.0172318446198465"
"ENSG00000178977"	"0.27085020242915"	"0.095469939711908"	"0.17035962047744"
"ENSG00000179028"	"0.495141700404858"	"0.00154353524295433"	"0.00526456172804981"
"ENSG00000179066"	"0.559109311740891"	"0.000273687601450711"	"0.00132697018885193"
"ENSG00000179082"	"0.585222672064777"	"0.000122437815014293"	"0.000721348640285973"
"ENSG00000179136"	"0.416194331983806"	"0.00887650819320883"	"0.0229299161111753"
"ENSG00000179141"	"0.368825910931174"	"0.0214425541555536"	"0.0485366342125709"
"ENSG00000179219"	"0.757085020242915"	"2.53147678322526e-07"	"4.09634681324004e-05"
"ENSG00000179253"	"0.571052631578947"	"0.000190918967162104"	"0.00100560700629239"
"ENSG00000179406"	"0.389676113360324"	"0.014749526160254"	"0.0352587936045368"
"ENSG00000179428"	"-0.109514170040486"	"0.505535630795828"	"0.621313849391831"
"ENSG00000179447"	"0.112753036437247"	"0.492961034502198"	"0.609773266555239"
"ENSG00000179452"	"0.118637154187522"	"0.471937571125246"	"0.591441076259965"
"ENSG00000179523"	"0.61336032388664"	"4.78227031530688e-05"	"0.000366755858718216"
"ENSG00000179577"	"0.351821862348178"	"0.0286455941084144"	"0.062218603288941"
