""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ABTB1"	2027.72504504092	-0.322872996599372	0.112440800948188	-2.87149321133126	0.0040853755697395	0.0101530075250049
"ABTB2"	179.427697076531	-0.0484146066762345	0.127041232142698	-0.381093648571144	0.703133760161911	0.813200974801521
"ACAA1"	2115.45830798128	-0.17241739459157	0.0888563199812388	-1.94040665456295	0.0523302885049984	0.0968539523926832
"ACAA2"	1862.4685736925	-0.485210473286237	0.0600291110340782	-8.08291951901113	6.32343569728494e-16	1.30358481417867e-14
"ACACA"	2586.41017165056	-0.681478448194808	0.0929197762294178	-7.33405175785449	2.23296795297616e-13	3.24793790200629e-12
"ACACB"	2073.99216977473	0.112777444773497	0.142348499373246	0.792262969192167	0.428207358970335	0.560354524307255
"ACAD10"	896.974016430942	0.11779844564516	0.059321393459673	1.98576666485827	0.0470592388134263	0.0883675652322231
"ACAD11"	1475.97742612845	0.110899108607446	0.0739069050732807	1.50052432174621	0.13347863815525	0.215667187848031
"ACAD8"	1307.75634406149	-0.470662801484814	0.100302813289321	-4.69241874729075	2.69993779564587e-06	1.2819998462443e-05
"ACAD9"	1244.60524626857	-0.0299178668684468	0.0552186522624995	-0.541807263354104	0.58795128720812	0.714253876267544
"ACADL"	699.299444668603	-2.28719156422009	0.230312084617769	-9.9308361001376	3.05681506738362e-23	1.59699743890242e-21
"ACADM"	970.125441252727	-0.0714242196998389	0.078167859001311	-0.913728744939029	0.36085939589269	0.489172360770222
"ACADS"	660.580113933076	-0.239942851584764	0.0850339120261113	-2.82173130540066	0.00477651783385752	0.0117015591649434
"ACADSB"	1028.43492145885	-0.262226707800228	0.103660177220119	-2.52967643730146	0.0114167756399639	0.0255284351170817
"ACADVL"	13772.5165986718	0.0509955354297709	0.0968677996542494	0.526444655621264	0.598579295800763	0.723799153623934
"ACAN"	160.39792641515	1.70087335987777	0.287221096207685	5.92182601603853	3.1838636911379e-09	2.49028288459018e-08
"ACAP1"	1016.48242371174	0.701969799795289	0.192277773672218	3.65081094080046	0.000261413619258673	0.000832620061072929
"ACAP2"	1621.79068531803	-0.177771416162111	0.0905515023875123	-1.96320780412172	0.0496220329270644	0.0924877867154912
"ACAP3"	2440.13166056878	0.465837586504184	0.101776353301051	4.57707091475612	4.71531649995355e-06	2.12920602267616e-05
"ACAT1"	1901.4043346656	-0.711654727855842	0.0562734734975545	-12.6463621956226	1.17175911904175e-36	2.86465059500092e-34
"ACAT2"	969.631719508881	-1.57336492211027	0.150415278424148	-10.4601403434139	1.31660509049418e-25	9.33321281436191e-24
"ACBD3"	1236.17202985561	-0.044451407499968	0.0842723862502113	-0.527472989408277	0.597865168739064	0.723394092809976
"ACBD4"	469.210036799089	0.0770920453652904	0.0903939754260797	0.852844949034607	0.393745293613273	0.52487444976662
"ACBD5"	810.481442570781	-0.347333856978078	0.0821266216683359	-4.22924807963936	2.3447367586884e-05	9.22272798090534e-05
"ACBD6"	1127.67413366645	-0.124323123722106	0.0508192189278192	-2.44638005748745	0.0144298800802524	0.0313505050985909
"ACBD7"	10.1057050539282	0.922606382197853	0.307301858351609	3.00228051710063	0.00267965125800517	0.00693045840755468
"ACCS"	1459.67403572859	-0.00391651753364957	0.125680252610666	-0.0311625530049038	0.975139903773381	0.98307918715594
"ACCSL"	0.699338229055759	-0.83707247329067	0.690675910088668	-1.21196129916158	0.225527195355561	0.334051428323379
"ACD"	406.988551719548	0.189184507493596	0.090823170816758	2.08299826786811	0.0372513814456287	0.0721530312632497
"ACE"	2110.82236036889	-0.13538681521588	0.232760141246304	-0.581658072945638	0.560797017898168	0.689702569126099
"ACE2"	103.641049555665	0.354917095840426	0.268697012922673	1.32088217870351	0.186540652842852	0.285760259403948
"ACER1"	1.93828768697997	0.940644305886553	0.433603862138079	2.16936330144359	0.0300551128364324	0.059793525996654
"ACER2"	85.0806693165304	0.91410609036731	0.225620348283212	4.05152326606584	5.08852650279854e-05	0.000187576091014625
"ACER3"	982.983145324846	-0.264982339502346	0.0807547388170151	-3.28132247573457	0.00103321541976431	0.00291024886846167
"ACHE"	85.3762416743212	0.29611236112238	0.185133667043389	1.599451714274	0.109720269380908	0.182427048288825
